pocolog.rb[INFO]: loading file info from ./control.0.idx... 
/motion_translator.motion_command.translation /motion_translator.motion_command.rotation /motion_translator.motion_command.heading.rad
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0.044999999999999998 -0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
